filename,indicator,indicator_acronym,source,source_acronym,source_url,download_path,last_updated_on,schema,storage_type,active_mirror_name,description,tags
cblb.csv,Countries Being Left Behind,CBLB,Development Initiatives,DI,http://devinit.org/wp-content/uploads/2018/07/countries-being-left-behind_report.pdf,,03/04/2019,repo,schema,cblb,"Countries being left behind refers to the 30 countries identified to be most at risk by poverty, human development, and climate and fragility models and measures",poverty
,PovCalNet Summary Table,,World Bank,WB,http://iresearch.worldbank.org/PovcalNet/home.aspx,,08/04/2019,repo,schema,PovCalNetSmy,Country summary tables from the World Bank PovCalNet,poverty
,PovCalNet Aggregate Table,,World Bank,WB,http://iresearch.worldbank.org/PovcalNet/home.aspx,,08/04/2019,repo,schema,PovCalNetAgg,Regional aggregate tables from the World Bank PovCalNet,poverty
,PovCalNet P20,P20,World Bank,WB,http://iresearch.worldbank.org/PovcalNet/home.aspx,,08/04/2019,repo,schema,PovCalNetP20,A subset of the country summary tables at the threshold where 20% of the global population is below,poverty
,PovCalNet Distribution Table,,World Bank,WB,http://iresearch.worldbank.org/PovcalNet/home.aspx,,08/04/2019,repo,schema,PovCalNetDist,Distributional tables from the World Bank’s PovCalNet,poverty
ldcs.csv,Least Developed Countries Classification,LDC,United Nations,UN,https://www.un.org/development/desa/dpad/wp-content/uploads/sites/45/publication/ldc_list.pdf,,01/12/2018,repo,schema,ldcs,List of Least Developed Countries as defined by the United Nations,"development,classifiers"
fragility.csv,States of Fragility 2018,,Organisation for Economic Co-operation and Development,OECD,http://www.oecd.org/dac/states-of-fragility-2018-9789264302075-en.htm,,03/04/2019,repo,schema,fragility,List of Fragile states from the OECD States of Fragility report 2018,"fragility,classifiers"
historical_income_groupings.csv,Income Groups (historical),,World Bank,WB,https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groups,,08/09/2020,repo,schema,historical_income_groupings,"Historical income group classifications from the World Bank, based on gross national income per capita",classifiers
oecd_regions.csv,List of developing countries by region,,Organisation for Economic Co-operation and Development,OECD,https://stats.oecd.org/Index.aspx?DataSetCode=Table2A,,08/09/2020,repo,schema,oecd_regions,List of developing countries by OECD region classification. Based on OECD DAC Table 2A,classifiers
developing_countries.csv,List of developing countries,,Organisation for Economic Co-operation and Development,OECD,http://www.oecd.org/dac/stats/documentupload/DAC%20List%20of%20ODA%20Recipients%202014%20final.pdf,,08/09/2020,repo,schema,developing_countries,List of developing countries based on data from the OECD. Countries that are on the OECD's list of ODA eligible countries are defined as developing countries.,classifiers
di_deflators_2016.csv,DI Deflators Constant 2016 USD,,International Monetary Fund,IMF,https://www.imf.org/external/pubs/ft/weo/2015/02/weodata/index.aspx,,01/01/2018,repo,schema,di_deflators_2016,"US$ deflators for constant 2016 prices, as calculated by a combination of IMF, OECD, and World Bank",deflator
di_deflators_2017.csv,DI Deflators Constant 2017 USD,,International Monetary Fund,IMF,https://www.imf.org/external/pubs/ft/weo/2019/01/weodata/download.aspx,,07/05/2019,repo,schema,di_deflators_2017,"US$ deflators for constant 2017 prices, as calculated by a combination of IMF, OECD, and World Bank",deflator
,World Development Indicators,WDI,World Bank,WB,http://datatopics.worldbank.org/world-development-indicators/,,11/04/2019,repo,schema,wdi,World Development Indicator database mirror from the World Bank,
,OECD Creditor Reporting System,CRS,Organisation for Economic Co-operation and Development,OECD,https://stats.oecd.org,https://stats.oecd.org/DownloadFiles.aspx?DatasetCode=CRS1,15/04/2019,repo,schema,crs_current,The Aid Activity database registers information on where aid goes at the level of individual aid receiving countries.  The countries are categorised  as developing countries or territories eligible to receive official development assistance (ODA).,"oda,crs"
,OECD DAC1: total flows by donor,DAC1,Organisation for Economic Co-operation and Development,OECD,https://stats.oecd.org,https://stats.oecd.org/DownloadFiles.aspx?DatasetCode=TABLE1,15/04/2019,repo,schema,dac1_current,"Official and Private Flows - Disbursements and Commitments. Aggregate data (no breakdown by recipient) on ODA, OOF, private and NGO data by donor, type of aid and flow.",
